BIN,Complaint,Feedback,ChargebackFlag,Complaint_Encoded
363525,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
385039,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
388157,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
557434,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
348150,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
467637,Fraudulent Transaction,Someone used my card fraudulently!,1,2
481232,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
597407,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
648279,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
657129,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
508537,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
648801,Unauthorized Charge,I was charged without my knowledge!,1,6
492883,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
599662,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
304932,Unauthorized Charge,I was charged without my knowledge!,1,6
539210,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
813202,Unauthorized Charge,I was charged without my knowledge!,1,6
406285,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
810370,Unauthorized Charge,I was charged without my knowledge!,1,6
536536,Unauthorized Charge,I was charged without my knowledge!,1,6
380216,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
467357,Fraudulent Transaction,Someone used my card fraudulently!,1,2
366045,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
371898,Fraudulent Transaction,Someone used my card fraudulently!,1,2
392505,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
459702,Fraudulent Transaction,Someone used my card fraudulently!,1,2
348091,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
357365,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
444259,Fraudulent Transaction,Someone used my card fraudulently!,1,2
652580,Fraudulent Transaction,Someone used my card fraudulently!,1,2
360773,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
650726,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
608635,Unauthorized Charge,I was charged without my knowledge!,1,6
504933,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
488639,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
340231,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
407102,Fraudulent Transaction,Someone used my card fraudulently!,1,2
509647,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
520603,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
381839,Fraudulent Transaction,Someone used my card fraudulently!,1,2
550313,Fraudulent Transaction,Someone used my card fraudulently!,1,2
470120,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
365396,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
387391,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
812679,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
535570,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
567761,Fraudulent Transaction,Someone used my card fraudulently!,1,2
573254,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
400721,Fraudulent Transaction,Someone used my card fraudulently!,1,2
500633,Unauthorized Charge,I was charged without my knowledge!,1,6
539415,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
464306,Fraudulent Transaction,Someone used my card fraudulently!,1,2
499106,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
424668,Unauthorized Charge,I was charged without my knowledge!,1,6
438964,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
601477,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
644841,Unauthorized Charge,I was charged without my knowledge!,1,6
427328,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
460879,Unauthorized Charge,I was charged without my knowledge!,1,6
376085,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
540890,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
509041,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
813108,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
395149,Unauthorized Charge,I was charged without my knowledge!,1,6
449942,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
815064,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
550060,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
507725,Fraudulent Transaction,Someone used my card fraudulently!,1,2
500170,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
340882,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
536093,Fraudulent Transaction,Someone used my card fraudulently!,1,2
456687,Unauthorized Charge,I was charged without my knowledge!,1,6
304834,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
390992,Fraudulent Transaction,Someone used my card fraudulently!,1,2
640587,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
483843,Unauthorized Charge,I was charged without my knowledge!,1,6
581779,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
812340,Unauthorized Charge,I was charged without my knowledge!,1,6
538395,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
658429,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
478088,Unauthorized Charge,I was charged without my knowledge!,1,6
579113,Unauthorized Charge,I was charged without my knowledge!,1,6
497625,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
566526,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
391388,Unauthorized Charge,I was charged without my knowledge!,1,6
562509,Unauthorized Charge,I was charged without my knowledge!,1,6
810876,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
623073,Fraudulent Transaction,Someone used my card fraudulently!,1,2
680942,Fraudulent Transaction,Someone used my card fraudulently!,1,2
427445,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
801429,Fraudulent Transaction,Someone used my card fraudulently!,1,2
498160,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
529310,Fraudulent Transaction,Someone used my card fraudulently!,1,2
490116,Fraudulent Transaction,Someone used my card fraudulently!,1,2
382704,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
313940,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
355644,Unauthorized Charge,I was charged without my knowledge!,1,6
570917,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
415820,Fraudulent Transaction,Someone used my card fraudulently!,1,2
223692,Unauthorized Charge,I was charged without my knowledge!,1,6
528207,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
111208,Fraudulent Transaction,Someone used my card fraudulently!,1,2
451135,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
594519,Fraudulent Transaction,Someone used my card fraudulently!,1,2
420918,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
519442,Fraudulent Transaction,Someone used my card fraudulently!,1,2
462859,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
437095,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
498759,Unauthorized Charge,I was charged without my knowledge!,1,6
444634,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
396404,Unauthorized Charge,I was charged without my knowledge!,1,6
478009,Unauthorized Charge,I was charged without my knowledge!,1,6
445921,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
415793,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
584732,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
421793,Unauthorized Charge,I was charged without my knowledge!,1,6
514666,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
429200,Unauthorized Charge,I was charged without my knowledge!,1,6
652577,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
629453,Unauthorized Charge,I was charged without my knowledge!,1,6
409441,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
601879,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
479253,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
423279,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
388010,Unauthorized Charge,I was charged without my knowledge!,1,6
370603,Unauthorized Charge,I was charged without my knowledge!,1,6
397010,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
380828,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
528697,Fraudulent Transaction,Someone used my card fraudulently!,1,2
473398,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
599093,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
436229,Unauthorized Charge,I was charged without my knowledge!,1,6
395099,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
446417,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
368559,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
495358,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
523599,Fraudulent Transaction,Someone used my card fraudulently!,1,2
478552,Fraudulent Transaction,Someone used my card fraudulently!,1,2
439229,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
549516,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
388661,Unauthorized Charge,I was charged without my knowledge!,1,6
372987,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
472113,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
508953,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
370469,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
507032,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
345772,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
557734,Unauthorized Charge,I was charged without my knowledge!,1,6
454678,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
464882,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
435266,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
354676,Unauthorized Charge,I was charged without my knowledge!,1,6
334768,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
393507,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
393527,Fraudulent Transaction,Someone used my card fraudulently!,1,2
491780,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
626749,Unauthorized Charge,I was charged without my knowledge!,1,6
504359,Unauthorized Charge,I was charged without my knowledge!,1,6
427340,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
627696,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
369061,Unauthorized Charge,I was charged without my knowledge!,1,6
382172,Unauthorized Charge,I was charged without my knowledge!,1,6
658976,Fraudulent Transaction,Someone used my card fraudulently!,1,2
515369,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
371230,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
813825,Unauthorized Charge,I was charged without my knowledge!,1,6
470885,Fraudulent Transaction,Someone used my card fraudulently!,1,2
650276,Unauthorized Charge,I was charged without my knowledge!,1,6
608586,Unauthorized Charge,I was charged without my knowledge!,1,6
383591,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
430826,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
357673,Unauthorized Charge,I was charged without my knowledge!,1,6
400229,Unauthorized Charge,I was charged without my knowledge!,1,6
646185,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
308855,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
376965,Unauthorized Charge,I was charged without my knowledge!,1,6
477347,Unauthorized Charge,I was charged without my knowledge!,1,6
492134,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
498305,Unauthorized Charge,I was charged without my knowledge!,1,6
313319,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
607275,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
816296,Unauthorized Charge,I was charged without my knowledge!,1,6
518767,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
577047,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
469090,Unauthorized Charge,I was charged without my knowledge!,1,6
626773,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
436324,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
369762,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
382298,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
460667,Unauthorized Charge,I was charged without my knowledge!,1,6
303164,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
533385,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
680397,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
429308,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
420071,Fraudulent Transaction,Someone used my card fraudulently!,1,2
390995,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
418553,Fraudulent Transaction,Someone used my card fraudulently!,1,2
455055,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
525255,Fraudulent Transaction,Someone used my card fraudulently!,1,2
813364,Fraudulent Transaction,Someone used my card fraudulently!,1,2
640816,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
435648,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
648110,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
500671,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
628510,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
400743,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
423472,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
582835,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
596670,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
426197,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
587202,Fraudulent Transaction,Someone used my card fraudulently!,1,2
817679,Fraudulent Transaction,Someone used my card fraudulently!,1,2
345806,Unauthorized Charge,I was charged without my knowledge!,1,6
384891,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
480152,Fraudulent Transaction,Someone used my card fraudulently!,1,2
655348,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
355038,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
305045,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
656795,Unauthorized Charge,I was charged without my knowledge!,1,6
552420,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
647313,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
583375,Fraudulent Transaction,Someone used my card fraudulently!,1,2
407143,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
655660,Fraudulent Transaction,Someone used my card fraudulently!,1,2
814960,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
509330,Fraudulent Transaction,Someone used my card fraudulently!,1,2
398866,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
415621,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
429380,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
491653,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
559969,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
499319,Fraudulent Transaction,Someone used my card fraudulently!,1,2
457488,Fraudulent Transaction,Someone used my card fraudulently!,1,2
529785,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
402080,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
487762,Fraudulent Transaction,Someone used my card fraudulently!,1,2
677420,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
547778,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
583885,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
506048,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
465512,Unauthorized Charge,I was charged without my knowledge!,1,6
223503,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
487179,Fraudulent Transaction,Someone used my card fraudulently!,1,2
502039,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
515153,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
521443,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
626743,Unauthorized Charge,I was charged without my knowledge!,1,6
372605,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
222898,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
657231,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
355750,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
547952,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
624680,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
555038,Fraudulent Transaction,Someone used my card fraudulently!,1,2
480184,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
599139,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
530187,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
393507,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
503714,Fraudulent Transaction,Someone used my card fraudulently!,1,2
378623,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
334979,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
816164,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
622122,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
467766,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
574200,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
490977,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
362264,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
403030,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
448027,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
810738,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
641011,Fraudulent Transaction,Someone used my card fraudulently!,1,2
435246,Unauthorized Charge,I was charged without my knowledge!,1,6
534760,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
659007,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
408039,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
399633,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
300599,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
423072,Fraudulent Transaction,Someone used my card fraudulently!,1,2
506066,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
397299,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
546153,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
607116,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
376608,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
436821,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
447750,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
477648,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
392641,Unauthorized Charge,I was charged without my knowledge!,1,6
564044,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
422280,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
529949,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
407730,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
491490,Fraudulent Transaction,Someone used my card fraudulently!,1,2
375053,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
608915,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
888197,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
398537,Fraudulent Transaction,Someone used my card fraudulently!,1,2
529062,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
401515,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
544878,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
100101,Unauthorized Charge,I was charged without my knowledge!,1,6
641861,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
468460,Unauthorized Charge,I was charged without my knowledge!,1,6
480137,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
656891,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
811385,Fraudulent Transaction,Someone used my card fraudulently!,1,2
817441,Fraudulent Transaction,Someone used my card fraudulently!,1,2
648058,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
648014,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
348967,Unauthorized Charge,I was charged without my knowledge!,1,6
414036,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
642129,Unauthorized Charge,I was charged without my knowledge!,1,6
381258,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
418444,Fraudulent Transaction,Someone used my card fraudulently!,1,2
640640,Unauthorized Charge,I was charged without my knowledge!,1,6
391871,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
582467,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
343430,Unauthorized Charge,I was charged without my knowledge!,1,6
651980,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
524473,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
659871,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
449874,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
656570,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
394303,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
648727,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
304035,Fraudulent Transaction,Someone used my card fraudulently!,1,2
581476,Fraudulent Transaction,Someone used my card fraudulently!,1,2
490371,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
658583,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
888585,Unauthorized Charge,I was charged without my knowledge!,1,6
640012,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
770063,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
548622,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
622700,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
340853,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
407355,Fraudulent Transaction,Someone used my card fraudulently!,1,2
655017,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
520524,Unauthorized Charge,I was charged without my knowledge!,1,6
420691,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
365969,Unauthorized Charge,Unauthorized transaction detected on my account.,1,6
658573,Unauthorized Charge,I was charged without my knowledge!,1,6
510086,Unauthorized Charge,"I raised a dispute, but no resolution yet!",1,6
392546,Fraudulent Transaction,"I reported fraud, but no action taken!",1,2
525298,Fraudulent Transaction,"Suspicious transaction on my card, please investigate!",1,2
